course_code,chunk
FOOD*3240,MICR*2420
FOOD*3260,MICR*2420
FOOD*3270,MICR*2420
FOOD*3430,FOOD*2400
FOOD*3700,(FOOD*2150 or HTM*2700)
FOOD*4020,FARE*3310
FOOD*4020,FOOD*3170
FOOD*4090,NUTR*3210
FOOD*4110,FOOD*3090
FOOD*4110,FOOD*3140
FOOD*4110,FOOD*3160
FOOD*4190,CHEM*2480
FOOD*4190,FOOD*3030
FOOD*4190,FOOD*3050
FOOD*4230,FOOD*4220
FOOD*4260,FOOD*2100
FOOD*4260,FOOD*3700
FOOD*4260,(FOOD*3030 or FOOD*3050)
FOOD*4260,(FOOD*3140 or FOOD*3160)
FOOD*4260,(FOOD*3230 or FOOD*3240)
FOOD*4270,FOOD*4260
FARE*2410,FARE*1040
FARE*2410,FARE*1400
FARE*2700,FARE*1040
FARE*2700,FARE*1400
FARE*3030,ECON*2310
FARE*3030,ECON*2770
FARE*3030,ECON*3740
FARE*3170,ECON*2310
FARE*3170,ECON*2650
FARE*3170,FARE*2700
FARE*3250,FARE*1040
FARE*3250,FARE*1300
FARE*3250,IDEV*2200
FARE*3310,(ACCT*1220 or ACCT*2220)
FARE*3320,FARE*3310
FARE*4220,BUS*3320
FARE*4220,ECON*2770
FARE*4220,MGMT*3320
FARE*4330,FARE*3310
FARE*4360,PSYC*1010
FARE*4360,STAT*2040
FARE*4360,STAT*2050
FARE*4360,STAT*2060
FARE*4360,STAT*2080
FARE*4380,FARE*3310
FARE*4380,FARE*4370
FARE*4500,ECON*2770
FREN*2020,FREN*1300
FREN*2020,FREN*2030
FREN*2060,FREN*1300
FREN*2060,FREN*2030
FREN*2500,FREN*1300
FREN*2500,FREN*2030
FREN*2520,FREN*1300
FREN*2520,FREN*2030
FREN*2550,FREN*1300
FREN*3030,FREN*2020
FREN*3030,FREN*2060
FREN*3030,FREN*2520
FREN*3090,FREN*2020
FREN*3090,FREN*2060
FREN*3090,FREN*2520
FREN*3110,FREN*2020
FREN*3110,FREN*2060
FREN*3110,FREN*2520
FREN*3130,FREN*2020
FREN*3130,FREN*2060
FREN*3130,FREN*2520
FREN*3140,FREN*2020
FREN*3140,FREN*2060
FREN*3140,FREN*2520
FREN*3160,FREN*2020
FREN*3160,FREN*2060
FREN*3160,FREN*2520
FREN*3170,FREN*2020
FREN*3170,FREN*2060
FREN*3170,FREN*2520
FREN*3260,FREN*2020
FREN*3260,FREN*2060
FREN*3260,FREN*2520
FREN*3500,FREN*2500
FREN*3520,FREN*2020
FREN*3520,FREN*2060
FREN*3520,FREN*2520
FREN*4770,FREN*4740
GEOG*2000,ENVS*1050
GEOG*2000,ENVS*1060
GEOG*2000,GEOG*1300
GEOG*2000,GEOG*1350
GEOG*2000,GEOL*1050
GEOG*2000,GEOL*1100
GEOG*2110,GEOG*1300
GEOG*2110,GEOG*1350
GEOG*2230,GEOG*1200
GEOG*2230,GEOG*1220
GEOG*2260,IDEV*1000
GEOG*2260,"(ANTH*1150, GEOG*1220)"
GEOG*3000,GEOG*2000
GEOG*3030,GEOG*2030
GEOG*3210,GEOG*2210
GEOG*3210,SOC*2280
GEOG*3430,GEOG*2420
GEOG*3430,GEOG*2480
GEOG*3440,GEOG*2480
GEOG*4110,GEOG*3110
GEOG*4110,GEOG*3610
GERM*1110,GERM*1100
GERM*2010,GERM*2490
GERM*2490,GERM*1110
GREK*1110,GREK*1100
GREK*2020,GREK*1110
HORT*2450,BIOL*1040
HORT*3050,HORT*2450
HORT*3150,AGR*2470
HORT*3150,BOT*2100
HORT*3270,BIOL*1070
HORT*3270,BIOL*1080
HORT*3270,BIOL*1090
HORT*3280,AGR*2470
HORT*3280,BOT*2100
HORT*3310,BIOC*2580
HORT*3430,AGR*2470
HORT*3430,BOT*2100
HORT*3510,AGR*2470
HORT*3510,BOT*2100
HORT*4300,AGR*2470
HORT*4380,BOT*2100
HORT*4380,"(AGR*2050, AGR*2150)"
HORT*4420,AGR*2470
HORT*4420,BOT*2100
HORT*4450,AGR*2050
HORT*4450,AGR*2470
DHRT*2000,DHRT*2230
DHRT*2090,DHRT*2250
DHRT*2100,DHRT*1050
DHRT*2200,DAGR*1200
DHRT*3050,DHRT*1050
DHRT*3120,DHRT*2090
DHRT*3150,DHRT*2200
DHRT*3180,DHRT*2000
DHRT*3300,DHRT*2200
DHRT*3300,DHRT*4290
DHRT*4000,DAGR*1200
DHRT*4000,DHRT*1050
DHRT*4050,DAGR*1600
DHRT*4150,DHRT*2090
DHRT*4150,DHRT*3120
DHRT*4190,DHRT*4290
DHRT*4200,DHRT*3170
DHRT*4290,DHRT*3180
DHRT*4300,DHRT*1050
DHRT*4320,DAGR*1200
DHRT*4320,(DAGR*1300 or DHRT*2230)
HTM*2070,HTM*1160
HTM*2070,HTM*1700
HTM*2070,HTM*2020
HTM*2070,SPMT*2020
HTM*3090,HTM*2030
HTM*3090,HTM*2700
HTM*3120,(ACCT*1220 or ACCT*2220)
HTM*3160,HTM*2020
HTM*3160,HTM*2170
HTM*3180,HROB*2090
HTM*3180,HROB*2100
HTM*3180,ACCT*2230
HTM*3780,HTM*1700
HTM*3780,HTM*2700
HTM*4060,HTM*3060
HTM*4110,HTM*3090
HTM*4250,HTM*2030
HTM*4250,HTM*3120
HTM*6720,HTM*6710
HHNS*4372,HHNS*4371
HHNS*4372,HK*4371
HHNS*4512,HHNS*4511
HHNS*4512,HK*4511
HHNS*6820,HHNS*6810
HHNS*6930,HHNS*6910
HHNS*6930,HHNS*6920
HK*2810,BIOC*2580
HK*2810,BIOL*1080
HK*3100,HK*3810
HK*3100,ZOO*3600
HK*3401,BIOM*3200
HK*3401,HK*3810
HK*3402,HK*3401
HK*3501,HK*3810
HK*3501,BIOM*3200
HK*3502,HK*3501
HK*3600,HK*2270
HK*3810,HK*2810
HK*4070,ENGG*3150
HK*4070,"(HK*2270, HK*3600)"
HK*4240,ENGG*1210
HK*4240,HK*3600
HK*4340,NUTR*3360
HK*4441,HK*3402
HK*4441,(HK*3810 or HK*3940)
HK*4442,HK*4441
HK*4460,(HK*3810 or HK*3940)
HK*4460,NUTR*4210
HK*4550,HK*3810
HK*4550,HK*3940
HK*4600,HK*3600
HK*4610,ENGG*3150
HK*4610,HK*2270
HROB*2290,BUS*2220
HROB*2290,HROB*2090
HROB*3010,HROB*2100
HROB*3010,HROB*2290
HROB*3010,HROB*3000
HROB*3010,PSYC*3070
HROB*3070,HROB*2100
HROB*3070,HROB*2290
HROB*3070,HROB*3000
HROB*3070,PSYC*3070
HROB*3090,HROB*2100
HROB*3090,HROB*2290
HROB*3090,HROB*3000
HROB*3090,PSYC*3070
IES*1020,IES*1010
IES*2010,IES*1020
IES*3020,ANTH*2660
IES*3020,HIST*2090
IES*4010,IES*4000
IES*4020,IES*4000
INDG*1110,INDG*1100
INDG*4000,GEOG*3210
INDG*4000,INDG*1000
INDG*4000,POLS*3340
INDG*4000,SOC*2280
IBIO*4100,IBIO*3100
